X,Y,FLUX,BACKGROUND
204.08627,361.6036,74.80378,60.791634
40.702522,249.0242,34.838924,60.04994
453.39883,80.31254,29.210266,64.81053
70.34076,137.65144,11.369915,61.929684
223.75249,91.75339,9.711205,64.43772
631.5839,127.76568,6.5096474,62.437717
582.8345,241.80624,6.3751106,61.972675
481.32617,276.66522,4.472122,62.596565
55.664185,266.83862,14.968632,60.011974
485.28992,379.40924,5.023861,61.0843
371.31027,19.271854,2.7329407,64.891846
524.89575,112.04609,3.4064522,63.99072
74.64801,190.06169,3.993328,61.469463
283.10168,346.17914,2.8972282,61.99509
189.18684,13.665753,2.3642921,63.623394
429.98178,340.63406,2.6726265,62.091137
487.46048,192.06612,3.2467995,63.65643
437.06897,11.619188,2.3914185,64.293365
231.04732,326.9169,2.360321,61.73107
351.06287,348.29013,2.052517,62.25719
537.6144,163.76222,3.3427734,63.434677
