field_x,field_y,field_ra,field_dec,index_x,index_y,index_ra,index_dec,index_id,field_id,match_weight,MAG_BT,MAG_VT,MAG_HP,MAG,FLUX,BACKGROUND
204.08627319335938,361.6036071777344,99.42808196476099,16.405394879555427,203.7794190696027,361.58483927174393,99.42792639881719,16.399414806626393,142,0,0.9783190173226879,0.0,2.024,0.0,2.024,74.80378,60.791634
40.70252227783203,249.02420043945312,101.32419820194355,12.890023267945347,40.98735026555888,249.12590056931913,101.32261749368344,12.89602082931914,143,1,0.9618984651063722,3.853,3.377,0.0,3.377,34.838924,60.04994
453.3988342285156,80.31253814697266,106.0080483932182,20.585483099384593,454.0908314780733,79.78670390562036,106.02100083313168,20.597436669976013,116,2,0.9844834249068967,8.335,7.662,0.0,7.662,29.210266,64.81053
70.34075927734375,137.6514434814453,103.65258770047666,13.182732075805129,70.14952032841194,137.20760493791843,103.66081806342368,13.178004727870714,1,3,0.9678047446888846,5.058,4.751,0.0,4.751,11.369915,61.929684
223.7524871826172,91.75338745117188,105.03871830140857,16.083654588522013,223.7005442107424,90.39657893658594,105.06593444175151,16.07900498920297,13,4,0.983357483468814,7.91,5.893,0.0,5.893,9.711205,64.43772
631.5839233398438,127.76567840576172,105.59992679029189,24.222518667700015,631.2391482869784,127.56647727375247,105.60326889506209,24.215446944382908,2,5,0.9613916131170297,6.383,5.287,0.0,5.287,6.5096474,62.437717
582.83447265625,241.80624389648438,103.0005359533046,23.595196155548294,583.1669856858139,241.8867985028796,103.00004389515935,23.601740272426518,15,6,0.9718155115121061,7.606,5.844,0.0,5.844,6.3751106,61.972675
481.326171875,276.66522216796875,101.95504171837882,21.68827293215984,481.46113852799664,277.022480176133,101.94796418049032,21.691569732553127,47,7,0.984984247185769,8.922,6.991,0.0,6.991,4.472122,62.596565
55.6641845703125,266.838623046875,101.00186190703067,13.230270527562642,55.52117638427097,267.0457362637058,100.99706029138865,13.228133612184916,144,8,0.9642390297792723,5.978,4.618,0.0,4.618,14.968632,60.011974
485.2899169921875,379.40924072265625,99.76222389431462,22.027912634820307,485.50684429625045,378.9860268797708,99.77205361937632,22.03093832980849,6,9,0.9738801907817284,7.405,6.196,0.0,6.196,5.023861,61.0843
524.895751953125,112.04608917236328,105.57987924160891,22.086109308829677,525.3276865615189,112.62676351389825,105.56896888709532,22.096222766484008,102,11,0.9789839551592903,8.492,7.455,0.0,7.455,3.4064522,63.99072
74.64801025390625,190.0616912841797,102.60867542050859,13.40562149444853,74.997882108985,190.21888043951145,102.60624751124821,13.41319305755122,14,12,0.969905194290213,7.426,5.826,0.0,5.826,3.993328,61.469463
189.1868438720703,13.665753364562988,106.50361294953647,15.183359717938517,188.95040876504214,14.694012417507452,106.48249249511751,15.18148056764906,112,14,0.9735571998166901,8.294,7.135,0.0,7.135,2.3642921,63.623394
487.4604797363281,192.0661163330078,103.7719569419574,21.579213768874872,486.8505718820859,193.65312072280238,103.73647694632614,21.571371936140498,33,16,0.9805029692044299,6.936,6.968,0.0,6.968,3.2467995,63.65643
351.0628662109375,348.2901306152344,100.07823530216106,19.290393357863092,351.6096079879286,352.74565301277613,99.9856422262558,19.312280819782615,120,19,0.8052763602363657,8.95,7.748,0.0,7.748,2.052517,62.25719
537.6143798828125,163.76222229003906,104.52831851989103,22.48701747013199,537.1959855957787,162.73244422412813,104.54884167296215,22.475661403321826,60,20,0.977801419459109,7.706,7.0,0.0,7.0,3.3427734,63.434677
